id,collection_name,created_at,duration_seconds,has_audio,resolution,visual_prompt,audio_prompt,compound_prompt,parent_generation_id,filename_stem
2474f1b5-9758-48c9-b907-53b7efa5c6e7,MARKOV_POET_00,2025-07-19T03:43:51.960000Z,5,False,720p,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16.",,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16.",488c9fc3-7130-4ba3-a283-8aa85f183dc7,20250719_034351_2474f1b5_720p_5s_silent_establishing_shot_of_poet_in_dim_bedroom
7534249f-2feb-4ff5-a2de-c4520a30c9ee,MARKOV_POET_00,2025-07-19T03:45:30.039000Z,5,False,720p,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16.",,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16.",c2d10bdd-d976-4265-bd30-63ffe64ba7d2,20250719_034530_7534249f_720p_5s_silent_establishing_shot_of_poet_in_dim_bedroom
0a69c776-b9de-4d1e-8e0a-cc8e9526baad,MARKOV_POET_00,2025-07-19T03:48:22.705000Z,5,False,720p,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16. Add flavor:",,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16. Add flavor:",63c6cf85-c431-48f5-a27f-aff982f9fa6f,20250719_034822_0a69c776_720p_5s_silent_establishing_shot_of_poet_in_dim_bedroom
1ea914c8-1dcf-4e11-8f2a-4206ed4c0411,MARKOV_POET_00,2025-07-19T03:50:44.346000Z,5,False,720p,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16. Add flavor: with graffiti tag 'Turbo Pitch 2026'.",,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16. Add flavor: with graffiti tag 'Turbo Pitch 2026'.",b9d087be-8f2b-47b0-84c9-cbcd43ce154e,20250719_035044_1ea914c8_720p_5s_silent_establishing_shot_of_poet_in_dim_bedroom
9f391a75-9b42-4716-9c1d-51e99daf9c37,MARKOV_POET_00,2025-07-19T03:51:26.411000Z,5,False,720p,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16. Add flavor: with graffiti tag 'OUT OF LIFE'.",,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16. Add flavor: with graffiti tag 'OUT OF LIFE'.",f3ac09e1-7770-4b75-b548-a31d04153176,20250719_035126_9f391a75_720p_5s_silent_establishing_shot_of_poet_in_dim_bedroom
bcc4949f-79b9-4c8f-800a-b4e3f4aaa366,MARKOV_POET_00,2025-07-19T03:52:47.728000Z,5,False,720p,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16. Add flavor:",,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16. Add flavor:",ee7e9a2b-86b8-450a-afbc-565ec75cc427,20250719_035247_bcc4949f_720p_5s_silent_establishing_shot_of_poet_in_dim_bedroom
90db999f-41be-4106-af9e-718e7f7b67c7,MARKOV_POET_00,2025-07-19T03:53:16.221000Z,5,False,720p,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16. Add flavor: with graffiti tag 'Turbo Pitch 2026'.",,"Establishing shot of POET in Dim Bedroom - Dim bedroom stasis, EX's detachment. POET's initial <You>₀.. Focus on the visual impact of: narrative progression. The scene's ambiance is Eerie green fog with a Film-noir grain style. Use Camera dollies forward, framed as in a symmetrical layout, aspect ratio 9:16. Add flavor: with graffiti tag 'Turbo Pitch 2026'.",ebae2897-0fde-4bd2-8900-165d5704705e,20250719_035316_90db999f_720p_5s_silent_establishing_shot_of_poet_in_dim_bedroom
a5a18f9d-b2b0-4a97-9c34-a9dbdf1717d5,MARKOV_POET_00,2025-07-19T04:34:37.581000Z,5,False,720p,"Overhead drone shot of POET in an unknown space - External chaos and blurring vision; EX recedes. Forces the 'LEAVE' trigger.. Focus on the visual impact of: Subjective Frame Recalibration. The scene's ambiance is Pastel sunrise palette with a Lo-fi VHS aesthetic style. Use Smooth drone shot, framed as an asymmetrical composition, aspect ratio 9:16. Add flavor: like digital echoes.",,"Overhead drone shot of POET in an unknown space - External chaos and blurring vision; EX recedes. Forces the 'LEAVE' trigger.. Focus on the visual impact of: Subjective Frame Recalibration. The scene's ambiance is Pastel sunrise palette with a Lo-fi VHS aesthetic style. Use Smooth drone shot, framed as an asymmetrical composition, aspect ratio 9:16. Add flavor: like digital echoes.",2474f1b5-9758-48c9-b907-53b7efa5c6e7,20250719_043437_a5a18f9d_720p_9s_silent_overhead_drone_shot_of_poet_in_an_unknow
5321a933-701a-4a60-8931-e65097c00560,MARKOV_POET_00,2025-07-19T04:35:29.618000Z,5,False,720p,"[
  {
    ""id"": ""POET"",
    ""type"": ""Character"",
    ""name"": ""POET"",
    ""traits"": [
      ""Protagonist"",
      ""Ego-Proxy"",
      ""Transformer"",
      ""Creator"",
      ""Observer""
    ]
  },
  {
    ""id"": ""EX"",
    ""type"": ""Character"",
    ""name"": ""EX"",
    ""traits"": [
      ""Antagonist-or-Catalyst"",
      ""Unreachable"",
      ""Elusive"",
      ""Shadow-Projection"",
      ""Past-Attachment""
    ]
  },
  {
    ""id"": ""TV_CHAOS"",
    ""type"": ""Object"",
    ""name"": ""Television Screen"",
    ""traits"": [
      ""Source-of-External-Chaos"",
      ""Reflection-of-Inner-Disorder""
    ]
  },
  {
    ""id"": ""VAPE_HAZE"",
    ""type"": ""Concept"",
    ""name"": ""Vape Haze"",
    ""traits"": [
      ""Blurring-Agent"",
      ""Obscuring-Perception"",
      ""Symbol-of-Detachment""
    ]
  }
]",,"[
  {
    ""id"": ""POET"",
    ""type"": ""Character"",
    ""name"": ""POET"",
    ""traits"": [
      ""Protagonist"",
      ""Ego-Proxy"",
      ""Transformer"",
      ""Creator"",
      ""Observer""
    ]
  },
  {
    ""id"": ""EX"",
    ""type"": ""Character"",
    ""name"": ""EX"",
    ""traits"": [
      ""Antagonist-or-Catalyst"",
      ""Unreachable"",
      ""Elusive"",
      ""Shadow-Projection"",
      ""Past-Attachment""
    ]
  },
  {
    ""id"": ""TV_CHAOS"",
    ""type"": ""Object"",
    ""name"": ""Television Screen"",
    ""traits"": [
      ""Source-of-External-Chaos"",
      ""Reflection-of-Inner-Disorder""
    ]
  },
  {
    ""id"": ""VAPE_HAZE"",
    ""type"": ""Concept"",
    ""name"": ""Vape Haze"",
    ""traits"": [
      ""Blurring-Agent"",
      ""Obscuring-Perception"",
      ""Symbol-of-Detachment""
    ]
  }
]",2474f1b5-9758-48c9-b907-53b7efa5c6e7,20250719_043529_5321a933_720p_9s_silent_id_poet_type_character_name_poet_traits
e01016b7-73d1-4d6b-a499-f160dd81791b,MARKOV_POET_00,2025-07-19T04:38:26.183000Z,5,False,720p,"My journey brings me to Dim Bedroom, as ""External chaos and blurring vision; EX recedes. Forces the 'LEAVE' trigger."" unfolds before me. I am undergoing a Subjective Frame Recalibration, as aspects of myself : Disoriented. Through it all, I am becoming You_Falling (Engaging EX).",,"My journey brings me to Dim Bedroom, as ""External chaos and blurring vision; EX recedes. Forces the 'LEAVE' trigger."" unfolds before me. I am undergoing a Subjective Frame Recalibration, as aspects of myself : Disoriented. Through it all, I am becoming You_Falling (Engaging EX).",7534249f-2feb-4ff5-a2de-c4520a30c9ee,20250719_043826_e01016b7_720p_9s_silent_my_journey_brings_me_to_dim_bedroom_as_e
